input_file,fetch_concurrency,llm_concurrency,duration_sec,success_count,fail_count,output_file,exit_code,stderr
input/urls1.txt,5,1,0.08,,,output\experiment\urls1_f5_l1.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls1.txt,5,2,0.08,,,output\experiment\urls1_f5_l2.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls1.txt,5,4,0.07,,,output\experiment\urls1_f5_l4.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls1.txt,10,1,0.07,,,output\experiment\urls1_f10_l1.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls1.txt,10,2,0.07,,,output\experiment\urls1_f10_l2.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls1.txt,10,4,0.08,,,output\experiment\urls1_f10_l4.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls1.txt,20,1,0.07,,,output\experiment\urls1_f20_l1.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls1.txt,20,2,0.07,,,output\experiment\urls1_f20_l2.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls1.txt,20,4,0.08,,,output\experiment\urls1_f20_l4.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls2.txt,5,1,0.07,,,output\experiment\urls2_f5_l1.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls2.txt,5,2,0.07,,,output\experiment\urls2_f5_l2.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls2.txt,5,4,0.07,,,output\experiment\urls2_f5_l4.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls2.txt,10,1,0.07,,,output\experiment\urls2_f10_l1.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls2.txt,10,2,0.07,,,output\experiment\urls2_f10_l2.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls2.txt,10,4,0.07,,,output\experiment\urls2_f10_l4.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls2.txt,20,1,0.09,,,output\experiment\urls2_f20_l1.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls2.txt,20,2,0.07,,,output\experiment\urls2_f20_l2.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
input/urls2.txt,20,4,0.07,,,output\experiment\urls2_f20_l4.json,1,"Traceback (most recent call last):
  File ""C:\Users\HamedVAHEB\Documents\Projects\Python\agentic-scraper\run_batch.py"", line 13, in <module>
    from agentic_scraper.backend.core.settings import Setti"
